HARDWARE,Supplier,Product Code,Stock / Buyout,
"HANDLES, SS, 320mm",Hafele,H.155.01.465,Buyout,
"HANDLES, SS, 320mm (NEW)",,H.155.00.093,Buyout,
"HANDLES, SS, 440mm",Hafele,H.155.01.466,Buyout,
"HANDLES, SS, 440mm (NEW)",,H.155.00.094,Buyout,
,,,,
Handle 2,,,,
"HANDLES, Chrome, 160mm",Hafele,H.110.34.255,Buyout,
"HANDLES, Brushed Nickle, 160mm",Hafele,H.110.34.655,Buyout,
"HANDLES, Flat Black, 160mm",Hafele,H.110.34.355,Buyout,
,,,,
Handle 3,,,,
"HANDLES, SS, 128mm",Hafele,H.117.05.610,Buyout,
"HANDLES, SS, 192mm",Hafele,H.117.05.620,Buyout,
"HANDLES, SS, 224mm",Hafele,H.117.05.630,Buyout,
"HANDLES, SS, 320mm",Hafele,H.117.05.640,Buyout,
"HANDLES, SS, 480mm",Hafele,H.117.05.650,Buyout,
,,,,
Handle 1,,,,
"HANDLES1, Chrome, 128mm",Hafele,H.111.95.270,Buyout,
"HANDLES1, Matt Aluminum, 128mm",Hafele,H.111.95.271,Buyout,
"HANDLES1, Black, 128mm",Hafele,H.111.95.306,Buyout,
"HANDLES1, Matt Gold, 128mm",Hafele,H.111.95.272,Buyout,
"HANDLES1, Slate, 128mm",Hafele,H.111.95.275,Buyout,
"HANDLES1, Chrome, 192mm",Hafele,H.111.95.280,Buyout,
"HANDLES1, Matt Aluminum, 192mm",Hafele,H.111.95.281,Buyout,
"HANDLES1, Black, 192mm",Hafele,H.111.95.307,Buyout,
"HANDLES1, Matt Gold, 192mm",Hafele,H.111.95.282,Buyout,
"HANDLES1, Slate, 192mm",Hafele,H.111.95.285,Buyout,
,,,,
Handle 2,,,,
"HANDLES2, Chrome, 128mm",Hafele,H.111.95.100,Buyout,
"HANDLES2, Matt Aluminum, 128mm",Hafele,H.111.95.101,Buyout,
"HANDLES2, Black, 128mm",Hafele,H.111.95.311,Buyout,
"HANDLES2, Matt Gold, 128mm",Hafele,H.111.95.104,Buyout,
"HANDLES2, Slate, 128mm",Hafele,H.111.95.105,Buyout,
"HANDLES2, Chrome, 256mm",Hafele,H.111.95.290,Buyout,
"HANDLES2, Matt Aluminum, 256mm",Hafele,H.111.95.291,Buyout,
"HANDLES2, Black, 256mm",Hafele,H.111.95.312,Buyout,
"HANDLES2, Matt Gold, 256mm",Hafele,H.111.95.291,Buyout,
"HANDLES2, Slate, 256mm",Hafele,H.111.95.295,Buyout,
,,,,
Handle 3,,,,
"HANDLES3, Chrome, 128mm",Hafele,H.111.95.180,Buyout,
"HANDLES3, Matt Nickle, 128mm",Hafele,H.111.95.182,Buyout,
"HANDLES3, Black, 128mm",Hafele,H.111.95.310,Buyout,
"HANDLES3, Matt Gold, 128mm",Hafele,H.111.95.184 ,Buyout,
"HANDLES3, Slate, 128mm",Hafele,H.111.95.185,Buyout,
,,,,
DOOR & DRAWER LOCKS,,,,
DOOR LOCK ACCESSORIES,,,,
"Door Lock Right, short throw",Hafele,H.232.26.600,Buyout,
"Door Lock Left, short throw",Hafele,H.232.26.610,Buyout,
"Door Cylinder, keyed Alike",Hafele,H.210.40.601,Buyout,
"Door Cylinder, keyed Different",Hafele,H.210.40.600,Buyout,
Door cylinder rosette (cover),Hafele,H.219.19.677,Buyout,
Door Strike Plate,Hafele,H.239.61.319,Buyout,
,,,,
DRAWER LOCK ACCESSORIES,,,,
Drawer Push Button Lock (Side Mounted only),Hafele,H.234.65.600,Buyout,
Locking Cyl. Sleeve,Hafele,H.234.59.994,Buyout,
"Drawer Cylinder, keyed Alike",Hafele,H.210.40.601,Buyout,
"Drawer Cylinder, keyed Different",Hafele,H.210.40.600,Buyout,
Drawer cylinder rosette (cover),Hafele,H.219.19.677,Buyout,
,,,,
OFFICE ACCESSORIES,,,,
MONITOR MOUNTING,,,,
Keyboard Tray Combo                     ,Hafele,H.632.68.311,Buyout,
Eliptta Long Arm - Basic (Qty 1),Hafele,H.818.11.939,Buyout,
Eliptta Universal Mounting Post,Hafele,H.818.10.901,Buyout,
Eliptta Sliding Clamp Doble Monitor,Hafele,H.818.11.965,Buyout,
Ellipta Wall Mount Bracket,Hafele,H.818.11.980,Buyout,
Omni-Ellipta Bracket,Hafele,H.818.11.981,Buyout,
,,,,
WALL TRACK,,,,
"Omni Wall Track - 96""",Hafele,H.792.00.000,Buyout,
"Omni Wall Track - 96""",Hafele,H.792.00.005,Buyout,
"Omni Wall Track - 96""  (Custom Lengths)",Hafele,H.792.00.005.CTS,Buyout,CTS PART ADDED TO CLOSET ROD GROUP ATTRIBUTE
Omni Edge Profile - Black (not available when stacking),Hafele,H.792.00.320,Buyout,
"Omni Edge Profile - Aluminum - 96"" (Used for Stacking) OLD",Hafele,H.792.01.000,Buyout,
"Omni Edge Profile - Aluminum - 96"" (Used for Stacking) NEW",Hafele,H.792.01.002,Buyout,
,,,,
TRAYS AND ORGANIZATION,,,,
Omni Paper Tray,Hafele,H.818.83.910,Buyout,
Omni Pencil Tray,Hafele,H.818.83.920,Buyout,
Omni Small Tray,Hafele,H.818.83.930,Buyout,
Omni Upright Tray,Hafele,H.818.83.940,Buyout,
Omni File Hanger,Hafele,H.818.83.900,Buyout,
File Frame Kit - Letter,Hafele,H.422.74.310,Buyout,
File Frame Kit - Legal,Hafele,H.422.74.320,Buyout,
,,,,
POWER STATIONS,,,Buyout,
Pop-up Power Station,Hafele,H.822.99.340,Buyout,
Pop-up Power Station (NEW),Hafele,H.822.09.409,Buyout,
Power/Data Station,Hafele,H.822.09.331,Buyout,
Power/Data Station (NEW),Hafele,H.822.09.406,Buyout,
Grommet - 2 3/8,Hafele,H.631.43.302,Buyout,
,,,,
,,,,
GARAGE ACCESSORIES,,,,
Wall Track,,,,
"Omni Wall Track - 96""",Hafele,H.792.00.000,Buyout,
"Omni Wall Track - 96""",Hafele,H.792.00.005,Buyout,
"Omni Wall Track - 96""  (Custom Lengths)",Hafele,H.792.00.005.CTS,Buyout,
,,,,
HANDLE,,,,
Extruded Door Handle,Hafele,H.792.01.060,Buyout,
Extruded Door Handle,Hafele,H.792.01.061,Buyout,
Extruded Door Handle (Custom Lengths),Hafele,H.792.01.061.CTS,Buyout,
Extruded Door Handle (Custom Lengths),Hafele,H.792.01.061.CTS,Buyout,
,,,,
HOOKS & ORGANIZERS,,,,
Utility Hook,Hafele,H.792.02.203,Buyout,
Garden Tool Hook,Hafele,H.792.02.200,Buyout,
Hose Hook,Hafele,H.792.02.202,Buyout,
Horizontal Bike Hook,Hafele,H.792.02.005,Buyout,
Activity Hook,Hafele,H.792.02.004,Buyout,
Vertical Bike Hook,Hafele,H.792.02.201,Buyout,
Fishing Rod Hook,Hafele,H.792.02.006,Buyout,
Small Cover Cap,Hafele,H.792.02.399,Buyout,
Hand Tool Hooks,Hafele,H.792.02.255,Buyout,
Screwdriver Hook,Hafele,H.792.02.252,Buyout,
Wrench Hook,Hafele,H.792.02.251,Buyout,
Pliers Hook,Hafele,H.792.02.250,Buyout,
Paper Organizer,Hafele,H.792.02.254,Buyout,
Single Hook,Hafele,H.792.02.253,Buyout,
Large Cover Cap,Hafele,H.792.02.349,Buyout,
,,,,
BINS,,,,
Storage Bin 5-1/4D x 4-1/4W x 3H,Hafele,H.792.02.380,Buyout,
Storage Bin 7-1/4D x 4-1/4W x 3H,Hafele,H.792.02.381,Buyout,
Storage Bin 10-3/4D x 5-1/2W x 5H,Hafele,H.792.02.382,Buyout,
,,,,
LEGS,,,,
"Garage Aluminum Legs 6""",Hafele,H.792.01.081,Buyout,
,,,,
CLOSET LED LIGHTING,,,,
POWER LEAD – (Wall plug-in to 60Watt Driver),,,,
"Primary Lead 78"" ",Hafele,H.833.89.003,Buyout,
,,,,
DRIVERS/DISTRIBUTORS – (Connects to Power lead),,,,
20Watt 12V Constant,Hafele,H.833.95.000,Buyout,
40Watt 12V Constant,Hafele,H.833.95.002,Buyout,
60Watt 24V Constant,Hafele,H.833.95.020,Buyout,
6-way distributor w/ switching function (MUST Use with Driver),Hafele,H.833.95.749,Buyout,
"6-way 24V Distributor w/ switch port, 6 Light ports (MUST Use with 60 Watt Driver)",Hafele,H.833.77.833,Buyout,
,,,,
EXT. LEADS - (From Driver/Distributor to 6 Way or single light lead)        ,,,,
"Ext. Lead, M/F 19"" ",Hafele,H.833.95.712,Buyout,
"Ext. Lead, M/F 39""",Hafele,H.833.95.713,Buyout,
"Ext. Lead, M/F 78""",Hafele,H.833.95.714,Buyout,
"Ext. Lead, 24V, M/F 78"" ",Hafele,H.833.95.717,Buyout,
,,,,
1 to 6 WAY LEAD DISTRIBUTOR – (From single Driver/Distributor port to multiple additional ports for lights or further extensions),,,,
"6-Way Distrbutor 78"" ",Hafele,H.833.95.786,Buyout,
6-Way 24V Lead Distributor 5“ Lead,Hafele,H.833.77.839,Buyout,
"4-way Ext. Lead 78""+59""+59""+59""x2 ",Hafele,H.833.95.742,Buyout,
,,,,
LED PUCK LIGHTS ,,,,
"Puck Light, 24V, 2.25"", Recessed, 3.4W, Warm White 3K, Requires LEAD & Housing.",Hafele,H.833.75.175,Buyout,
"LED Puck, 2.5"", Recessed, 2.5W, Warm White, Chrome, 157""",Hafele,H.833.72.091,Buyout,
"MINI LED Puck, 1 3/8"",  Recessed 1.5W Warm White Chrome, 78""  ",Hafele,H.833.72.043,Buyout,
Adapters for Loox3 pucks to Loox5 Drivers ,Hafele,H.833.95.753,Buyout,
,,,,
,,,,
PUCK LIGHT HOUSING – (Choose 1 for every Puck light),,,,
"Recess Housing, Round, Stainless Steel",Hafele,H.833.72.382,Buyout,
"Recess Housing, Round, Black",Hafele,H.833.72.168,Buyout,
"Recess Housing, Round, Slate",Hafele,H.833.72.380,Buyout,
"Recess Housing, Round, Aluminum",Hafele,H.833.72.126,Buyout,
"Recess Housing, Round, White",Hafele,H.833.72.171,Buyout,
"Surface Housing, Round, Stainless Steel",Hafele,H.833.72.194,Buyout,
"Surface Housing, Round, Black",Hafele,H.833.72.160,Buyout,
"Surface Housing, Round, Slate",Hafele,H.833.72.193,Buyout,
"Surface Housing, Round, Aluminum",Hafele,H.833.72.124,Buyout,
"Surface Housing, Round, White",Hafele,H.833.72.163,Buyout,
,,,,
PUCK LIGHT CONNECTOR - (Must use with every Puck light used),,,,
"Driver/Distributor or 6 Way to PUCK, 24V Connector 78""      ",Hafele,H.833.95.791,Buyout,
,,,,
,,,,
"ON/OFF SWITCH – (If using a dedicated wall switch to socket to turn the lights on/off, then skip the Switch section)",,,,
"Push Switch 78""  ",Hafele,H.833.89.108,Buyout,
"Concealed/Touch Switch 0"" ",Hafele,H.833.89.133,Buyout,
"Remote Switch 0"" ",Hafele,H.833.89.122,Buyout,
"6 Channel Remote Receiver 39"" ",Hafele,H.833.73.741,Buyout,
Door Activation Switch ,Hafele,H.833.89.128,Buyout,
Motion Switch ,Hafele,H.833.89.129,Buyout,
Motion Switch (Adjustable timing) ,Hafele,H.833.89.333,Buyout,
Switch Housing ,Hafele,H.833.89.090,Buyout,
,,,,
SWITCH EXTENSION CABLE,,,,
"Switch Extension cable 78"" ",Hafele,H.833.89.067,Buyout,
,,,,
SWITCH ADAPTER CABLE – (Must use with Concealed or Motion Switch),,,,
"Cable 39"" ",Hafele,H.833.89.141,Buyout,
"Cable 78"" ",Hafele,H.833.89.142,Buyout,
,,,,
"LED STRIP LIGHT (can cut every 1"")",,,,
"5M Roll, 3000K, Warm White, 20Watt ",Hafele,H.833.74.355,Buyout,
"5M Roll, 24V, 3000K, Warm White, 24Watt/5m",H.833.76.317,H.833.76.317,Buyout,
,,,,
LED STRIP CONNECTORS - (Flexible – Must use with every Lighted Closet Rod or Channeled part) ,,,,
"LED to LED Connector  2""  ",Hafele,H.833.89.191,Buyout,
"LED to LED Connector  19""  ",Hafele,H.833.89.192,Buyout,
"LED to LED Connector  78"" ",Hafele,H.833.89.193,Buyout,
"Driver/Strip Connector 4""  ",Hafele,H.833.93.736,Buyout,
"Driver/Strip Connector 78""  ",Hafele,H.833.95.700,Buyout,
"Driver/Distributor or 6 Way to LED, 24V Connector 78""      ",Hafele,H.833.95.706,Buyout,
,,,,
LED STRIP SWITCH,,,,
"Aluminum Profile Dimmer 78"" ",Hafele,H.833.95.751,Buyout,
"Aluminum Profile Motion 78"" ",Hafele,H.833.95.750,Buyout,
,,,,
ALUMINUM CABLE TRAY or used as LED Corner Lighting  - (LED not included),,,,
"Square Surface Mount 98"" - Frosted Diffusor",Hafele,H.833.72.842,Buyout,
"Slim Square Mount 98"" - Frosted Diffusor (WONT WORK)  DELETE",Hafele,H.833.72.840,Buyout,
"Slim Square Mount 98"" - Frosted Diffusor (NEW)",Hafele,H.833.71.852,Buyout,
"Corner Surface Mount 98"" - Frosted Diffusor ",Hafele,H.833.74.812,Buyout,
,,,,
JIGS/TOOLS,,,,
RAFIX  ,,,,
Replacement Rafix Drill,Hafele,H.001.24.426,Stock,
Replacement Rafix Jig,Hafele,H.001.25.631,Stock,
Replacement Rafix Stop Ring,Hafele,H.001.42.693,Stock,
Replacement Rafix Drill Guage,Hafele,H.001.28.750,Stock,
,,,,
BITS,,,,
5mm Drill Bits (10 pack),Hafele,H.001.41.168,Buyout,
"Pozi Drive Driver Bit 2"" (10 pack)",Hafele,H.006.37.285,Buyout,
Confirmat Drill Bit,Richelieu,"

R.AT55102",Buyout,
,,,,
JIGS/TOOLS,,,,
Line Boring Jig,Hafele,H.001.27.007,Buyout,
Handle Drilling Jig,Hafele,H.001.35.001,Buyout,
Centering Drill Bit Holder (Line Boring Tool),Hafele,H.001.28.600,Buyout,
,,,,
TOUCH-UP STICKS,,,,
Touch-Up Sticks,,,,
White,Richelieu,M2300202,Stock,
Nova White,Richelieu,M2300202,Stock,
Free Spirit,Richelieu,M2300183,Stock,
Sheer Beauty,Richelieu,M2300173,Stock,
Fashionista,Richelieu,M2319114,Stock,
First Class,Richelieu,M2300279,Stock,
White Chocolate,Richelieu,M2319483,Stock,
Canadian Gray,Richelieu,M2300027,Stock,
Maple,Richelieu,M2308359,Stock,
Silverwood,Richelieu,M2300070,Stock,
Esterel,Richelieu,M2319114,Stock,
Cassis,Richelieu,M2300069,Stock,
Winter Fun,Richelieu,M2300037,Stock,
Apres Ski,Richelieu,M2319114,Stock,
Chiffon,Richelieu,M2300083,Stock,
Pietra,Richelieu,M2300049,Stock,
Ombre,Richelieu,M2300035,Stock,
Whisper,Richelieu,M2300503,Stock,
Rumour,Richelieu,M2319114,Stock,
,,,,
CAM/SCREW COVERS,,,,
TFL CAM COVERS,,,,
TFL Cam Cover - White,MJ Woodcraft,CAM-WHITE,Stock,
TFL Cam Cover - Free Spirit,MJ Woodcraft,CAM-FREE_SPIRIT,Stock,
TFL Cam Cover - Sheer Beauty,MJ Woodcraft,CAM-SHEER_BEAUTY,Stock,
TFL Cam Cover - Fashionista,MJ Woodcraft,CAM-FASHIONISTA,Stock,
TFL Cam Cover - First Class,MJ Woodcraft,CAM-FIRST_CLASS,Stock,
TFL Cam Cover - White Chocolate,MJ Woodcraft,CAM-WHITE_CHOCOLATE,Stock,
TFL Cam Cover - Canadian Grey (uses Matte Cam Cover),MJ Woodcraft,CAM-CANADIAN_GREY,Stock,
TFL Cam Cover - Sunset Grey (uses Matte Cam Cover),MJ Woodcraft,CAM-LIGHT_GREY,Stock,
TFL Cam Cover - Black (uses Matte Cam Cover),MJ Woodcraft,CAM-BLACK,Stock,
TFL Cam Cover - Charcoal (uses Matte Cam Cover),MJ Woodcraft,CAM-CHARCOAL,Stock,
TFL Cam Cover - Silverwood,MJ Woodcraft,N/A,Stock,
TFL Cam Cover - Esterel,MJ Woodcraft,CAM-ESTEREL,Stock,
TFL Cam Cover - Cassis,MJ Woodcraft,CAM-CASSIS,Stock,
TFL Cam Cover - Winter Fun,MJ Woodcraft,CAM-WINTER_FUN,Stock,
TFL Cam Cover - Apres Ski,MJ Woodcraft,CAM-APRES_SKI,Stock,
TFL Cam Cover - Super Matte Sunset Grey,MJ Woodcraft,CAM-LIGHT_GREY,Stock,
TFL Cam Cover - Super Matte White,MJ Woodcraft,CAM-PURE_WHITE,Stock,
TFL Cam Cover - Super Matte Canadian Grey,MJ Woodcraft,CAM-CANADIAN_GREY,Stock,
TFL Cam Cover - Chiffon,MJ Woodcraft,CAM-CHIFFON,Stock,
TFL Cam Cover - Pietra,MJ Woodcraft,CAM-PIETRA,Stock,
TFL Cam Cover - Ombre,MJ Woodcraft,CAM-OMBRE,Stock,
TFL Cam Cover - Whisper,MJ Woodcraft,CAM-WHISPER,Stock,
TFL Cam Cover - Rumour,MJ Woodcraft,CAM-RUMOUR,Stock,
TFL Cam Cover - Super Matte Black,MJ Woodcraft,CAM-BLACK,Stock,
TFL Cam Cover - Super Matte Charcoal,MJ Woodcraft,CAM-CHARCOAL,Stock,
TFL Cam Cover - Super Matte Sage,MJ Woodcraft,CAM-SAGE,Stock,
TFL Cam Cover - Super Matte Shipshaw,MJ Woodcraft,CAM-GAUNTLET GREY,Stock,
MATTE CAM COVERS,,,Stock,
Matte Cam Cover - White,MJ Woodcraft,CAM-SATIN_WHITE,Stock,
Matte Cam Cover - Black,MJ Woodcraft,CAM-BLACK,Stock,
Matte Cam Cover - Fume,MJ Woodcraft,CAM-CHARCOAL,Stock,
Matte Cam Cover - New Gray,MJ Woodcraft,CAM-SUEDE_STONE,Stock,
Matte Cam Cover - Magnolia,MJ Woodcraft,CAM-FRESH_LINEN,Stock,
Matte Cam Cover - Blue Notte,MJ Woodcraft,CAM-MERINO BLUE,Stock,
Matte Cam Cover - Arctic Grey,MJ Woodcraft,CAM-LIGHT_GREY,Stock,
Matte Cam Cover - Fog,MJ Woodcraft,CAM-JERSEY_FOG,Stock,
HIGH GLOSS CAM COVERS,,,Stock,
High Gloss Cam Cover - HG White (uses Matte Cam Cover),MJ Woodcraft,CAM-SATIN_WHITE,Stock,
High Gloss Cam Cover - HG Black (uses Matte Cam Cover),MJ Woodcraft,CAM-BLACK,Stock,
High Gloss Cam Cover - HG Fume (uses Matte Cam Cover),MJ Woodcraft,CAM-CHARCOAL,Stock,
High Gloss Cam Cover - HG Magnolia (uses Matte Cam Cover),MJ Woodcraft,CAM-FRESH_LINEN,Stock,
High Gloss Cam Cover - HG Arctic Grey (uses Matte Cam Cover),MJ Woodcraft,CAM-LIGHT_GREY,Stock,
High Gloss Cam Cover - HG Fog (uses Matte Cam Cover),MJ Woodcraft,CAM-JERSEY_FOG,Stock,
TFL SCREW COVERS,,,Stock,
TFL Screw Cover - White,MJ Woodcraft,SCREW-WHITE,Stock,
TFL Screw Cover - Free Spirit,MJ Woodcraft,SCREW-FREE_SPIRIT,Stock,
TFL Screw Cover - Sheer Beauty,MJ Woodcraft,SCREW-SHEER_BEAUTY,Stock,
TFL Screw Cover - Fashionista,MJ Woodcraft,SCREW-FASHIONISTA,Stock,
TFL Screw Cover - First Class,MJ Woodcraft,SCREW-FIRST_CLASS,Stock,
TFL Screw Cover - White Chocolate,MJ Woodcraft,SCREW-WHITE_CHOCOLATE,Stock,
TFL Screw Cover - Canadian Grey (uses Matte Cam Cover),MJ Woodcraft,SCREW-CANADIAN_GREY,Stock,
TFL Screw Cover - Sunset Grey (uses Matte Cam Cover),MJ Woodcraft,SCREW-LIGHT_GREY,Stock,
TFL Screw Cover - Black (uses Matte Cam Cover),MJ Woodcraft,SCREW-BLACK,Stock,
TFL Screw Cover - Charcoal (uses Matte Cam Cover),MJ Woodcraft,SCREW-CHARCOAL,Stock,
TFL Screw Cover - Silverwood,MJ Woodcraft,N/A,Stock,
TFL Screw Cover - Esterel,MJ Woodcraft,SCREW-ESTEREL,Stock,
TFL Screw Cover - Cassis,MJ Woodcraft,SCREW-CASSIS,Stock,
TFL Screw Cover - Winter Fun,MJ Woodcraft,SCREW-WINTER_FUN,Stock,
TFL Screw Cover - Apres Ski,MJ Woodcraft,SCREW-APRES_SKI,Stock,
TFL Screw Cover - Super Matte Sunset Grey,MJ Woodcraft,SCREW-LIGHT_GREY,Stock,
TFL Screw Cover - Super Matte White,MJ Woodcraft,SCREW-PURE_WHITE,Stock,
TFL Screw Cover - Super Matte Canadian Grey,MJ Woodcraft,SCREW-CANADIAN_GREY,Stock,
TFL Screw Cover - Chiffon,MJ Woodcraft,SCREW-CHIFFON,Stock,
TFL Screw Cover - Pietra,MJ Woodcraft,SCREW-PIETRA,Stock,
TFL Screw Cover - Ombre,MJ Woodcraft,SCREW-OMBRE,Stock,
TFL Screw Cover - Whisper,MJ Woodcraft,SCREW-WHISPER,Stock,
TFL Screw Cover - Rumour,MJ Woodcraft,SCREW-RUMOUR,Stock,
TFL Screw Cover - Super Matte Black,MJ Woodcraft,SCREW-BLACK,Stock,
TFL Screw Cover - Super Matte Charcoal,MJ Woodcraft,SCREW-CHARCOAL,Stock,
TFL Screw Cover - Super Matte Sage,MJ Woodcraft,SCREW-SAGE,Stock,
TFL Screw Cover - Super Matte Shipshaw,MJ Woodcraft,SCREW-GAUNTLET GREY,Stock,
MATTE SCREW COVERS,,,Stock,
Matte Screw Cover - White,MJ Woodcraft,SCREW-SATIN_WHITE,Stock,
Matte Screw Cover - Black,MJ Woodcraft,SCREW-BLACK,Stock,
Matte Screw Cover - Fume,MJ Woodcraft,SCREW-CHARCOAL,Stock,
Matte Screw Cover - New Gray,MJ Woodcraft,SCREW-SUEDE_STONE,Stock,
Matte Screw Cover - Magnolia,MJ Woodcraft,SCREW-FRESH_LINEN,Stock,
Matte Screw Cover - Blue Notte,MJ Woodcraft,SCREW-MERINO BLUE,Stock,
Matte Screw Cover - Arctic Grey,MJ Woodcraft,SCREW-LIGHT_GREY,Stock,
Matte Screw Cover - Fog,MJ Woodcraft,SCREW-JERSEY_FOG,Stock,
HIGH GLOSS SCREW COVERS,,,Stock,
High Gloss Screw Cover - HG White (uses Matte Cam Cover),MJ Woodcraft,SCREW-SATIN_WHITE,Stock,
High Gloss Screw Cover - HG Black (uses Matte Cam Cover),MJ Woodcraft,SCREW-BLACK,Stock,
High Gloss Screw Cover - HG Fume (uses Matte Cam Cover),MJ Woodcraft,SCREW-CHARCOAL,Stock,
High Gloss Screw Cover - HG Magnolia (uses Matte Cam Cover),MJ Woodcraft,SCREW-FRESH_LINEN,Stock,
High Gloss Screw Cover - HG Arctic Grey (uses Matte Cam Cover),MJ Woodcraft,SCREW-LIGHT_GREY,Stock,
High Gloss Screw Cover - HG Fog (uses Matte Cam Cover),MJ Woodcraft,SCREW-JERSEY_FOG,Stock,
